Study,BioProject,Sample,Raw,Trimmed,Aligned,Input Reads,Assigned Reads
Vidal-Dupiol2013,SRP011059,SRR414924,11126114,10116214,5963090,,
Vidal-Dupiol2013,SRP011059,SRR414925,12580416,11799609,7582464,,
Mayfield2014,PRJNA227785,SRR1030692,46662042,43680422,26263291,55387604,40614453
Mayfield2014,PRJNA227785,SRR1030693,45975388,43326443,29875158,63108564,45836488
Mayfield2014,PRJNA227785,SRR1030694,41725663,39681093,31133631,65451795,48159436
Vidal-Dupiol2014,PRJNA219439,SRR988551,10180520,9226406,4095562,,
Vidal-Dupiol2014,PRJNA219439,SRR988670,9674485,8081862,2515669,5361107,3307721
Vidal-Dupiol2014,PRJNA219439,SRR988671,8510156,7700710,2034084,4332021,2754383
Vidal-Dupiol2014,PRJNA219439,SRR988672,13858112,12491102,5331566,11424126,7304504
Yuan2017,PRJNA299443,SRR2912663,30274934,30274933,15828293,33364134,23567108
Yuan2017,PRJNA299443,SRR2912664,30365662,30365662,14085431,29686954,21043531
Yuan2017,PRJNA299443,SRR2912665,30581298,30581297,15165129,31881726,22523220
Yuan2017,PRJNA299443,SRR2912669,30145089,30145089,14957994,31464274,22209768
Zhou2017,PRJNA327142,SRR3727281,15308742,15248110,10512714,11430929,8304503
Zhou2017,PRJNA327142,SRR3727374,18710314,18637888,12850563,13974165,10151090
Zhou2017,PRJNA327142,SRR3727379,15314555,15242908,7849450,8538806,6152873
Zhou2017,PRJNA327142,SRR3727380,18712223,18624422,9592647,10434534,7520337
Zhou2017,PRJNA327142,SRR3727383,15304454,15235715,8116506,8895363,6286844
Zhou2017,PRJNA327142,SRR3727387,18704463,18625315,9909671,10863163,7673923
Zhou2017,PRJNA327142,SRR3727388,15325641,15254968,7310473,7982097,5569598
Zhou2017,PRJNA327142,SRR3727390,18731994,18650470,8921943,9743282,6795524
Zhou2017,PRJNA327142,SRR3727400,15147390,15083801,8379632,9139705,6569703
Zhou2017,PRJNA327142,SRR3727418,18513023,18435666,10245745,11175596,8034260
Zhou2017,PRJNA327142,SRR3727424,15457164,15392099,8529773,,
Zhou2017,PRJNA327142,SRR3727425,18891311,18812640,10426632,,
Brener-Raffali2018,PRJNA399069,SRR5963014,21005129,18763583,13774362,,
Brener-Raffali2018,PRJNA399069,SRR5963016,25909460,23134532,15650708,,
Brener-Raffali2018,PRJNA399069,SRR5963017,22547224,20199449,15490874,,
Brener-Raffali2018,PRJNA399069,SRR5963020,23899219,21459952,16449493,,
Brener-Raffali2018,PRJNA399069,SRR5963032,23062898,20756530,15698815,,
Brener-Raffali2018,PRJNA399069,SRR5963033,25955233,23269733,17513659,,
Brener-Raffali2018,PRJNA399069,SRR5963035,25296238,22461567,14408915,,
Brener-Raffali2018,PRJNA399069,SRR5963037,25178554,22396355,15289033,,
Brener-Raffali2018,PRJNA399069,SRR5963041,25250037,22343584,13022683,,
Brener-Raffali2018,PRJNA399069,SRR5963053,22174528,19786264,15286965,,
Brener-Raffali2018,PRJNA399069,SRR5963055,25525762,22457705,9813009,,
Brener-Raffali2018,PRJNA399069,SRR5963057,26829225,23791213,14179030,,
Brener-Raffali2018,PRJNA399069,SRR5963059,25443810,22464465,11427594,,
Brener-Raffali2018,PRJNA399069,SRR5963060,23440566,20716854,10828280,,
Brener-Raffali2018,PRJNA399069,SRR5963073,22360662,20037266,15277799,,
Brener-Raffali2018,PRJNA399069,SRR5963074,23613624,20977493,13830956,,
Brener-Raffali2018,PRJNA399069,SRR5963076,25986831,23190623,16005826,,
Brener-Raffali2018,PRJNA399069,SRR5963078,24867338,22088593,14776949,,
Brener-Raffali2018,PRJNA399069,SRR5963080,21619948,19379967,14589876,,
Brener-Raffali2018,PRJNA399069,SRR5963015,25502862,22792280,17458966,,
Brener-Raffali2018,PRJNA399069,SRR5963021,27819835,24739535,16122261,,
Brener-Raffali2018,PRJNA399069,SRR5963034,27534745,24499253,17697366,,
Brener-Raffali2018,PRJNA399069,SRR5963036,27064008,24212283,18062464,,
Brener-Raffali2018,PRJNA399069,SRR5963038,27046129,24183785,18149776,,
Brener-Raffali2018,PRJNA399069,SRR5963039,27056632,24016901,14610201,,
Brener-Raffali2018,PRJNA399069,SRR5963040,26216415,23220903,13490187,,
Brener-Raffali2018,PRJNA399069,SRR5963052,25477195,22542000,14715741,,
Brener-Raffali2018,PRJNA399069,SRR5963054,23508264,20737490,9149636,,
Brener-Raffali2018,PRJNA399069,SRR5963056,25848098,22890036,13518088,,
Brener-Raffali2018,PRJNA399069,SRR5963058,27893175,24721202,14147467,,
Brener-Raffali2018,PRJNA399069,SRR5963061,27704683,24505854,13424680,,
Brener-Raffali2018,PRJNA399069,SRR5963072,26936070,23844247,16081293,,
Brener-Raffali2018,PRJNA399069,SRR5963075,25244269,22373682,13429800,,
Brener-Raffali2018,PRJNA399069,SRR5963077,25030427,22220020,14081686,,
Brener-Raffali2018,PRJNA399069,SRR5963079,27932721,24863509,16786868,,
Brener-Raffali2018,PRJNA399069,SRR5963081,29908570,26614597,18058226,,
Delgadillo-Nuno2018,PRJNA552592,SRR9648437,19381832,19038421,5218744,,
Delgadillo-Nuno2018,PRJNA552592,SRR9648438,17740920,17420555,6430681,,
Delgadillo-Nuno2018,PRJNA552592,SRR9648439,18164392,17874931,4446568,,
Delgadillo-Nuno2018,PRJNA552592,SRR9648440,18482005,18159784,4787663,,
RSMAS2018,NA,SRRNAS1,9167320,,,,
RSMAS2018,NA,SRRNAS2,9021582,,,,
Tang2018,PRJNA433950,SRR6761151,30908901,30258839,9458164,20377294,14725682
Tang2018,PRJNA433950,SRR6761152,31556713,30791014,8808715,19148708,13223271
Tang2018,PRJNA433950,SRR6761153,35166421,34346061,15214659,32798489,23590155
Tang2018,PRJNA433950,SRR6761154,37460177,36619202,8637524,18767936,13054865
Tang2018,PRJNA433950,SRR6761155,29516974,28794318,11321603,24446586,17432217
Tang2018,PRJNA433950,SRR6761156,34615644,33763248,11158705,,
Wecker2018,PRJNA369135,SRR5215310,7449338,7428206,6159601,6440378,4566882
Wecker2018,PRJNA369135,SRR5215311,16000000,15953941,13491350,14076890,10645382
Wecker2018,PRJNA369135,SRR5215312,9011938,8982322,7724434,8060831,5950722
Wecker2018,PRJNA369135,SRR5215313,8297937,8275351,7029016,7340169,5498328
Wecker2018,PRJNA369135,SRR5215314,6431832,6413452,5343225,5584693,4139945
