Citation,Title,Year,Geographic Region,Countries,Specific Location(s),Pocillopora nominal species,# Pocillopora samples,Link
Stoddart et al. 1984a,Genetical structure within populations of the coral Pocillopora damicornis,1984,Western Australia,Australia,"Rottsnest Island, Little Island, Lancelin, Jurian Bay, Houtman Abrolhos Islands",P. damicornis,839,https://link.springer.com/article/10.1007%2FBF00397621
Stoddart et al. 1984b,Genetic Differentiation Amongst Populations of the Coral Pocillopora damicornis off Southwestern Australia,1984,Western Australia,Australia,"Rottsnest Island, Little Island, Lancelin, Jurian Bay, Houtman Abrolhos Islands",P. damicornis,839,https://link.springer.com/article/10.1007%2FBF00301959
Benzie et al. 1995,Variation in the genetic composition of coral (Pocillopora damicornis and Acropora palifera) populations from different reef habitats,1995,Great Barrier Reef,Australia,One Tree Island,P. damicornis,393,https://link.springer.com/article/10.1007/BF00349309
Ayre et al. 1997,"Genetic differentiation, reproductive mode, and gene flow in the brooding coral Pocillopora damicornis along the Great Barrier Reef, Australia",1997,Great Barrier Reef,Australia,"Lizard Island, Davies Reef, Heron Island",P. damicornis,407,https://www.int-res.com/abstracts/meps/v159/p175-187/
Adjeroud & Tsuchiya 1999,"Genetic variation and clonal structure in the scleractinian coral Pocillopora damicornis in the Ryukyu Archipelago, southern Japan",1999,East Asia & Japan,Japan,"Okinawa Island, Aka Island, Sesoko Island, Ishigaki Island",P. damicornis,288,https://link.springer.com/article/10.1007/s002270050592
Ridgway et al. 2001,Panmixia in P. verrucosa from South Africa,2001,Western Indian Ocean,South Africa,"KwaZulu-Natal, Leadsman Shoal to Ponto do Ouro Northern Reef complex",P. verrucosa,256,https://link.springer.com/article/10.1007%2Fs002270100573
Ayre & Miller 2004,Where do clonal coral larvae go? Adult genotypic diversity conflicts with reproductive effort in the brooding coral Pocillopora damicornis,2004,Great Barrier Reef,Australia,One Tree Island,P. damicornis,120,https://www.int-res.com/abstracts/meps/v277/p95-105/
Magalon et al. 2004,"﻿Development of coral and zooxanthella-specific microsatellites in three species of Pocillopora (Cnidaria, Scleractinia) from French Polynesia",2004,Central & South Pacific,French Polynesia,Mo'orea,"P. damicornis, P. verrucosa, P. meandrina",25,https://onlinelibrary.wiley.com/doi/10.1111/j.1471-8286.2004.00618.x
Miller & Ayre 2004,The role of sexual and asexual reproduction in structuring high latitude populations of the reef coral Pocillopora damicornis,2004,Great Barrier Reef,Australia,"Lord Howe Island (Little Island, Comet's Hole, North Bay, Sylph's Hole, Old Gulch, Ned's Beach, Boat Harbor)",P. damicornis,200,https://www.nature.com/articles/6800459
Magalon et al. 2005,Patterns of genetic variation do not correlate with geographical distance in the reef-building coral Pocillopora meandrina in the South Pacific ,2005,Central & South Pacific,French Polynesia,"Tonga, Bora Bora, Mo'orea, Tahiti",P. meandrina,257,https://onlinelibrary.wiley.com/doi/10.1111/j.1365-294X.2005.02430.x
Sherman et al. 2006,"Asexual reproduction does not produce clonal populations of the brooding coral Pocillopora damicornis on the Great Barrier Reef, Australia",2006,Great Barrier Reef,Australia,One Tree Island,P. damicornis,920,https://link.springer.com/article/10.1007/s00338-005-0053-x
Whitaker et al. 2006,Genetic evidence for mixed modes of reproduction in the coral Pocillopora damicornis and its effect on population structure,2006,Western Australia,Australia,"Ningaloo Reef, Houtman Abrolhos Islands",P. damicornis,644,http://www.int-res.com/abstracts/meps/v306/p115-124/
Flot & Tillier 2007,The mitochondrial genome of Pocillopora (Cnidaria: Scleractinia) contains two variable regions: The putative D-loop and a novel ORF of unknown function,2007,Hawaiian Islands,France,New Caledonia,"P. damicornis, P. eydouxi",2,https://www.sciencedirect.com/science/article/abs/pii/S0378111907003666?via%3Dihub
Combosch et al. 2008,Interspecific hybridization and restricted trans-Pacific gene flow in the Tropical Eastern Pacific Pocillopora,2008,Eastern Tropical Pacific,"U.S.A., Panama, France","Hawaii, Gulf of Chiriqui, Clipperton Atoll","P. damicornis, P. eydouxi, P. elegans, P. inflata, P. effusa",69,https://onlinelibrary.wiley.com/doi/10.1111/j.1365-294X.2007.03672.x
Flot et al. 2008,Patterns of genetic structure among Hawaiian corals of the genus Pocillopora yield clusters of individuals that are compatible with morphology,2008,Hawaiian Islands,U.S.A.,"O'ahu (Kaneohe Bay, Kahe Point, Moku Manu)","P. damicornis, P. eydouxi, P. ligulata, P. meandrina, P. molokensis",37,https://www.sciencedirect.com/science/article/pii/S1631069107003812
Ridgway et al. 2008,Genetic connectivity patterns of Pocillopora verrucosa in southern African Marine Protected Areas,2008,Western Indian Ocean,"South Africa, Mozambique","Kosi Bay, Nine-mile Reef, Five-mile Reef, Two-mile Reef, Red Sands Reef, Leadsman Shoal, Bazaruto Island",P. verrucosa,115,https://www.int-res.com/abstracts/meps/v354/p161-168/
Starger et al. 2008,"﻿Ten polymorphic STR loci in the cosmopolitan reef coral, Pocillopora damicornis",2008,Central & South Pacific,Indonesia,"Raja Ampat, Kri Island",P. damicornis,21,https://onlinelibrary.wiley.com/doi/10.1111/j.1471-8286.2007.02017.x
Chavez-Romo et al. 2009,"Genetic structure of the scleractinian coral, Pocillopora damicornis, from the Mexican Pacific",2009,Eastern Tropical Pacific,Mexico,"Gulf of California (El Portugues, Punta Gaviotas, Punta Arenas), Southern Mexico (Isla Redonda, Las Dos Hermanas, La Entrega)",P. damicornis,NA,https://www.researchgate.net/profile/Andres-Lopez-Perez-3/publication/233171942_Genetic_structure_of_a_scleractinia_coral_Pocillopora_damicornis_in_the_Mexican_Pacific/links/0fcfd509c0832b4129000000/Genetic-structure-of-a-scleractinia-coral-Pocillopora-damicornis-in-the-Mexican-Pacific.pdf
Souter et al. 2009,Patterns of genetic structuring in the coral Pocillopora damicornis on reefs in East Africa,2009,Western Indian Ocean,"Kenya, Tanzania","Mombasa Marine National Park and Reserve (MMP), Pemba Island Chake Bay, Mafia Island, Mtwara",P. damicornis,825,https://bmcecol.biomedcentral.com/articles/10.1186/1472-6785-9-19
Starger et al. 2010,The recovery of coral genetic diversity in the Sunda Strait following the 1883 eruption of Krakatau,2010,Coral Triangle,Indonesia,"Krakatau, Aceh, Pulau Seribu, Bali, Lombok, Makassar, Selayar, Flores, Northern Sulawesi, Halmahera, Raja Ampat, Biak, Yapen, Manokwari, Teluk Cenderwasih, Kaimana, Fakfak",P. damicornis,682,https://link.springer.com/article/10.1007/s00338-010-0609-2
Flot et al. 2010,"Haplowebs as a graphical tool for delimiting species: A revival of Doyle's ""field for recombination"" approach and its application to the coral genus Pocillopora in Clipperton",2010,Eastern Tropical Pacific,France,Clipperton Atoll,"P. sp. A, P. sp. B",74,https://bmcecolevol.biomedcentral.com/articles/10.1186/1471-2148-10-372
Souter 2010,﻿Hidden genetic diversity in a key model species of coral,2010,Western Indian Ocean,"Kenya, Tanzania, Mauritius","Malindi, Kanamai, MMP, Kisite, Pemba, Tanga, Zanzibar, Mafia, Mtwara, Mauritius",P. damicornis,43,https://link.springer.com/article/10.1007%2Fs00227-009-1370-3
Yeoh & Dai,"The production of sexual and asexual larvae within single broods of the scleractinian coral, Pocillopora damicornis",2010,East & Southeast Asia,Taiwan,Nanwan Bay (Outlet),P. damicornis,41,https://link.springer.com/article/10.1007%2Fs00227-009-1322-y
Combosch et al. 2011,Population genetics of an ecosystem-defining reef coral Pocillopora damicornis in the Tropical Eastern Pacific,2011,Eastern Tropical Pacific,Panama,"Uva Island, Canal de Afuera Island, Granito de Oro Island, Bahia de Damas, Coiba Island, Achotines Bay, Iguana Island, Saboga Island, Contadora Island, Taboga Island",P. damicornis,207,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0021200
Pinzon & LaJeunesse 2011,"﻿Species delimitation of common reef corals in the genus Pocillopora using nucleotide sequence phylogenies, population genetics and symbiosis ecology",2011,Eastern Tropical Pacific,"Mexico, Panama, Ecuador, France","Gulf of California, Banderas Bay, Oaxaca, Revillagigedos, Panama (Gulf of Panama), Galapagos,  Cillperton Atoll","﻿P. capitata, P. damicornis, P. effusa, P. eyudoxi, P. inflata, P. meandrina, P. verrucosa ⁄elegans, P. woodjonesi",301,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-294X.2010.04939.x
Aranceta-Garza et al. 2012,Effect of tropical storms on sexual and asexual reproduction in coral Pocillopora verrucosa subpopulations in the Gulf of California,2012,Eastern Tropical Pacific,Mexico,"﻿Gulf of California (Loreto, Portugues, Isla Espiritu Santo, San Lorenzo Channel, Cabo Pulmo)",P. verrucosa,217,https://link.springer.com/article/10.1007/s00338-012-0941-9
Paz-Garcia et al. 2012,Genetic Connectivity Patterns of Corals Pocillopora damicornis and Porites panamensis (Anthozoa: Scleractinia) Along the West Coast of Mexico,2012,Eastern Tropical Pacific,Mexico,"Gulf of California (Punta Gaviotas, El Portugues),  Punta Arena de la Ventana, Bahia Banderas (Isla Redonda), Bahías de Huatulco (Dos Hermanas, La Entrega)",P. damicornis,200,https://bioone.org/journals/pacific-science/volume-66/issue-1/66.1.3/Genetic-Connectivity-Patterns-of-Corals-Pocillopora-damicornis-and-Porites-panamensis/10.2984/66.1.3.short
Pinzon et al. 2012,Contrasting clonal structure among Pocillopora (Scleractinia) communities at two environmentally distinct sites in the Gulf of California,2012,Eastern Tropical Pacific,Mexico,Gulf of California (La Paz),Pocillopora spp.,119,https://link.springer.com/article/10.1007/s00338-012-0887-y
